id,station_code,station_name,region_id,latitude,longitude,altitude,station_type,soil_type_id,establishment_date,equipment_list,monitoring_frequency,responsible_person,contact_info,status,created_at
21,ST21000021,辽宁省石家庄门头沟监测站21,913,42.473224358523865,124.37680309475614,1754,省级,45,2018-10-30,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,黄海燕,13113061341,active,2023-12-30 15:28:53
22,ST62000022,甘肃省柳州龙潭监测站22,348,35.01419422249961,103.79578118173302,2056,县级,36,2017-12-01,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,王桂荣,13581160990,active,2025-05-12 19:02:29
23,ST65000023,新疆维吾尔自治区马鞍山高港监测站23,896,43.43322002424987,86.51431893069535,2211,国家级,48,2022-09-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,母秀云,14550771047,maintenance,2025-06-10 21:08:43
24,ST54000024,西藏自治区南宁监测站24,199,29.3485818001652,91.68242522919873,766,国家级,39,2016-07-01,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,唐霞,15097779561,maintenance,2024-09-26 07:59:43
25,ST11000025,北京市监测站25,1,40.43911868403287,116.20962734234035,1227,国家级,25,2016-04-24,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,牛柳,18117527266,inactive,2024-08-14 15:31:36
26,ST14000026,山西省澳门南溪监测站26,687,36.58545234590655,110.84757375541672,818,村级,43,2016-12-14,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,秦斌,18102921316,maintenance,2025-03-29 09:22:40
27,ST53000027,云南省长春朝阳监测站27,943,23.690940381673265,99.33740387261409,1523,国家级,7,2021-05-09,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,李博,15934462567,inactive,2023-09-04 04:40:28
28,ST64000028,宁夏回族自治区六安淄川监测站28,339,38.977188616341145,106.6971783394551,2658,国家级,36,2015-09-19,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,钟刚,13506245857,inactive,2024-11-07 10:39:37
29,ST33000029,浙江省西宁监测站29,482,29.490048111068806,117.63351658961832,1560,市级,13,2023-12-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,吴慧,15188158737,inactive,2025-02-09 15:11:22
30,ST32950030,江苏省苏州市监测站30,39,31.674674665470814,119.8148444976766,59,村级,3,2024-03-03,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,韩丹,18152792428,active,2025-05-25 17:23:12
31,ST41000031,河南省监测站31,16,34.957171885245224,113.46723821022333,271,村级,18,2022-09-02,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,尤明,15901007233,inactive,2024-04-28 11:12:34
32,ST46000032,海南省广州南长监测站32,664,22.085813067142936,113.08751375617413,2307,省级,10,2022-10-31,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,苏帆,15375507947,inactive,2024-09-10 07:15:35
33,ST12000033,天津市广州白云监测站33,666,43.55607897015743,117.28927868858203,400,村级,23,2021-05-09,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,徐华,13624451373,inactive,2024-01-27 02:23:38
34,ST23000034,黑龙江省石家庄城北监测站34,650,44.592438389488464,127.79189629824957,2451,村级,15,2016-01-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,曹欢,13286758033,maintenance,2024-03-30 23:43:23
35,ST51000035,四川省郑州长寿监测站35,818,26.87383199355832,105.10124098075994,1511,省级,3,2021-04-04,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,张华,14725278910,active,2023-11-28 17:30:08
36,ST23000036,黑龙江省石家庄梁平监测站36,222,48.091271991697845,124.50755926601892,1967,县级,24,2024-05-01,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,邓红霞,13116786861,maintenance,2023-10-13 22:32:27
37,ST53000037,云南省呼和浩特合川监测站37,494,24.260004947301844,102.58662160202643,1602,村级,23,2018-06-06,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,张敏,13725798783,inactive,2024-09-19 15:39:25
38,ST22000038,吉林省齐齐哈尔监测站38,298,45.61384096525037,124.3406814215821,685,国家级,11,2023-07-25,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,张玉华,14536593235,inactive,2025-01-23 22:10:50
39,ST46000039,海南省成都怀柔监测站39,639,18.114720983016426,110.47270911110256,1143,省级,35,2018-06-10,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,陈英,15830156347,active,2024-08-18 19:56:43
40,ST65000040,新疆维吾尔自治区大冶监测站40,46,45.30912412718767,87.26470569793558,1087,村级,2,2019-04-09,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,毛桂兰,18631946198,active,2024-06-30 18:44:27
41,ST15000041,内蒙古自治区宜都东城监测站41,492,39.54514267636089,112.35123479355434,1851,县级,43,2017-11-25,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,黄帅,18724030054,inactive,2024-07-14 23:38:24
42,ST13590042,河北省石家庄市崇文监测站42,347,36.93008330896304,116.27801025371592,958,市级,24,2022-03-31,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,杨畅,13816090251,inactive,2024-09-05 03:14:14
43,ST51000043,四川省拉萨清城监测站43,355,31.02268630092693,104.35975229934952,610,省级,45,2022-12-21,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,黄小红,13231483806,maintenance,2024-08-25 02:42:58
44,ST63000044,青海省大冶长寿监测站44,954,33.32592309989045,103.34289110852215,2017,市级,28,2019-07-12,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,艾亮,15795429780,maintenance,2025-04-04 18:04:12
45,ST65000045,新疆维吾尔自治区沈阳萧山监测站45,383,41.70065911171346,88.51274578414598,2596,国家级,15,2016-05-30,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,王洁,18056999016,active,2025-05-27 01:48:59
46,ST61000046,陕西省长春怀柔监测站46,256,34.795984358366745,108.59392255852244,216,国家级,23,2016-01-13,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,王博,13874568103,inactive,2024-04-09 20:33:02
47,ST35000047,福建省阜新孝南监测站47,884,28.708244505826855,121.79011847176503,2936,国家级,22,2019-01-05,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,王亮,18636041914,inactive,2023-10-15 05:44:23
48,ST12000048,天津市广州沙市监测站48,550,40.374215633337144,118.15929722253871,1336,村级,26,2016-05-08,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,邵雷,13741290477,active,2025-05-26 22:37:46
49,ST13430049,河北省唐山市清河监测站49,923,40.220104677354534,117.02097856015985,2330,国家级,32,2021-02-15,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,陈旭,15266531371,inactive,2023-11-08 06:22:20
50,ST35000050,福建省齐齐哈尔监测站50,865,25.292688271009443,118.27281014538016,2286,市级,1,2021-04-03,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,曹帆,18614909464,active,2025-01-10 19:48:19
51,ST54000051,西藏自治区辛集怀柔监测站51,701,30.410246056885796,92.55158028387999,1503,县级,32,2017-08-29,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,王玉,18834672885,inactive,2025-04-08 04:45:09
52,ST62000052,甘肃省兰州监测站52,201,37.32767205792795,104.05012553424802,1357,市级,46,2024-03-16,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,周博,13516674355,active,2024-12-26 07:31:15
53,ST51000053,四川省宜都西夏监测站53,820,29.51913977386684,104.42049569928,2686,省级,48,2018-12-27,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,熊瑞,18540410980,active,2025-05-01 03:47:53
54,ST51000054,四川省监测站54,23,31.3617047083679,103.88253535264866,1256,县级,2,2022-08-06,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,余桂芳,13678989801,maintenance,2025-02-05 12:20:28
55,ST14000055,山西省澳门南湖监测站55,369,39.83603763021566,113.86198847286441,1940,市级,34,2016-06-25,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,吴建军,18947786691,active,2024-01-27 11:25:40
56,ST62000056,甘肃省梧州高港监测站56,303,36.430705970280655,105.37588594104407,79,国家级,26,2017-04-17,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,陈雷,18977639052,maintenance,2024-03-04 09:06:24
57,ST53000057,云南省长春朝阳监测站57,943,23.5024918413732,99.67007317922106,751,村级,1,2018-12-27,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,许颖,13734880578,active,2024-09-20 03:56:43
58,ST54000058,西藏自治区东莞监测站58,684,28.0574606714087,93.47162967722974,1087,县级,33,2019-02-09,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,黄建华,15325300536,inactive,2023-06-17 22:00:06
59,ST51000059,四川省郑州监测站59,264,28.994137873381437,104.28574411177982,805,村级,30,2024-01-04,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,陈婷,13493000378,maintenance,2025-03-26 15:01:48
60,ST35000060,福建省阜新安次监测站60,95,27.741672953237522,118.93180462947673,762,县级,39,2016-12-17,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,张玉梅,14598533498,inactive,2024-02-15 09:56:26
61,ST46000061,海南省广州永川监测站61,463,17.905989116569597,110.59693578656073,552,国家级,35,2021-02-14,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,谢秀兰,15957522528,active,2025-02-19 13:51:44
62,ST37000062,山东省沈阳监测站62,488,35.55790307810423,114.84813629366981,1325,县级,36,2018-07-18,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,尹宇,18184044919,active,2024-04-28 10:27:38
63,ST15000063,内蒙古自治区太原上街监测站63,133,37.77116153005359,112.22872090587727,884,国家级,42,2016-01-11,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,王婷,18508840467,active,2024-11-28 14:33:24
64,ST23000064,黑龙江省石家庄合川监测站64,431,46.177959082664195,127.38963596740469,2566,市级,42,2019-07-22,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,聂楠,18231481867,maintenance,2024-06-02 14:44:10
65,ST46000065,海南省广州永川监测站65,463,18.41149097544,111.43886537222339,1019,国家级,29,2020-10-24,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,包畅,18774958719,maintenance,2024-07-22 10:56:19
66,ST64000066,宁夏回族自治区昆明丰都监测站66,605,39.98569082636083,104.4400036463559,2841,省级,31,2016-10-04,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,张军,14756387992,maintenance,2024-09-04 17:54:42
67,ST14620067,山西省太原市高明监测站67,592,39.1756399421,112.79934553217667,529,国家级,21,2018-03-31,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,王建,15251778551,inactive,2025-05-05 12:58:41
68,ST52000068,贵州省银川翔安监测站68,366,27.676091020298056,109.94826714543274,1942,市级,40,2024-06-06,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,王淑英,18913007392,active,2023-10-10 09:02:49
69,ST65000069,新疆维吾尔自治区东莞监测站69,862,43.27453712371539,84.95363862503514,2540,省级,46,2023-02-08,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,聂春梅,15244558462,active,2024-12-20 09:10:51
70,ST33000070,浙江省邯郸梁平监测站70,159,28.873728715732657,122.86639863831437,337,村级,39,2016-06-21,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,陈瑞,15118065628,inactive,2023-07-01 22:37:39
71,ST43000071,湖南省重庆大东监测站71,873,27.999472347696283,112.87483252081661,836,村级,44,2016-09-07,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,李淑英,18786116768,maintenance,2024-06-24 15:20:31
72,ST46000072,海南省广州永川监测站72,463,17.838952211016952,111.30228671972276,2181,国家级,36,2019-12-30,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,谢玲,18051716919,active,2024-10-25 01:23:48
73,ST63000073,青海省马鞍山城北监测站73,308,38.576755571022936,100.33168343063711,2718,村级,15,2016-08-08,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,高春梅,13862625723,active,2023-09-23 18:42:39
74,ST35000074,福建省潜江魏都监测站74,468,25.050326702339788,120.30517118511975,652,国家级,48,2023-08-17,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,孙柳,15042865681,inactive,2023-07-27 01:36:21
75,ST50000075,重庆市六安锡山监测站75,501,30.37210099799888,109.56649771872455,68,村级,5,2016-11-20,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,陈桂英,15598510653,inactive,2025-04-11 18:56:53
76,ST37000076,山东省西安大东监测站76,793,37.24708988015541,115.19048604938841,2432,省级,40,2020-09-17,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,萧桂芝,18937061536,inactive,2025-04-28 10:06:11
77,ST61000077,陕西省哈尔滨西峰监测站77,219,35.67651522005633,109.69216897115767,2000,国家级,13,2017-09-07,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,黄阳,15936727561,inactive,2025-04-20 11:38:23
78,ST41000078,河南省佛山朝阳监测站78,551,36.267386354641005,113.18219599307109,859,县级,1,2017-01-31,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,汪洁,18859051964,active,2024-01-27 21:02:01
79,ST23000079,黑龙江省辽阳监测站79,816,47.90714285468108,126.75696916554213,524,县级,29,2023-12-24,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,丁莹,13714302030,maintenance,2024-11-09 06:27:10
80,ST41000080,河南省香港翔安监测站80,539,34.968191299853636,111.17087345462906,1681,省级,20,2018-05-15,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,雷桂珍,18803319974,maintenance,2024-12-09 17:12:13
81,ST61000081,陕西省哈尔滨西峰监测站81,219,36.57280522512125,109.05535109669756,2730,国家级,36,2016-09-17,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,朱波,18282112800,active,2024-05-23 09:15:06
82,ST51000082,四川省南昌东城监测站82,736,31.988232160145543,107.6622925444075,1711,县级,9,2019-08-17,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,马雪梅,18153073632,inactive,2024-06-14 04:27:55
83,ST13590083,河北省石家庄市永川监测站83,124,38.11720743131978,114.51516410923588,374,县级,26,2022-12-04,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,赵波,15574685046,inactive,2024-03-12 20:40:43
84,ST61000084,陕西省哈尔滨江北监测站84,142,37.59292982077714,109.98251337806451,1526,省级,26,2016-02-27,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,姬秀云,15528034840,maintenance,2024-11-21 23:02:25
85,ST44000085,广东省成都南长监测站85,537,23.27976835839092,116.24226974531784,1811,省级,7,2016-09-20,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,杨波,15258605449,active,2024-09-13 07:50:07
86,ST23000086,黑龙江省石家庄浔阳监测站86,578,46.227515165060446,124.74677432565949,140,村级,44,2021-09-16,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,段波,18586286726,inactive,2024-10-06 21:54:06
87,ST46000087,海南省广州永川监测站87,463,17.79257426630579,109.67752874938034,2640,省级,23,2021-09-11,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,王琴,18096899386,maintenance,2024-12-23 08:51:15
88,ST51000088,四川省南昌萧山监测站88,774,30.267576379892507,106.79881942504849,1202,市级,44,2020-05-21,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,陈雪梅,18508951765,maintenance,2025-01-24 02:04:44
89,ST32000089,江苏省西安监测站89,566,32.08024473817646,119.83387060260857,2521,县级,42,2018-09-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,王桂花,15954505237,active,2024-11-18 01:17:49
90,ST33000090,浙江省辽阳大兴监测站90,722,29.238074859347595,116.95163451206089,336,省级,13,2021-07-24,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,陈秀华,14509980989,maintenance,2024-11-18 13:10:33
91,ST21000091,辽宁省石家庄门头沟监测站91,913,41.88813002120481,126.17955299965301,318,村级,9,2016-03-07,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,白凯,15647488412,inactive,2023-10-21 11:17:58
92,ST14000092,山西省嘉禾新城监测站92,543,37.501526052536626,112.03970872959596,489,省级,48,2017-10-08,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,赵琳,15386904223,maintenance,2024-04-09 09:06:00
93,ST32340093,江苏省南京市监测站93,38,31.98479169890443,118.06824614397925,1972,市级,8,2024-03-19,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,郑凤英,13700946281,maintenance,2024-06-17 17:19:44
94,ST12000094,天津市广州花溪监测站94,843,39.706287473487656,119.81894558162357,1856,村级,33,2017-08-13,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,王楠,15563273058,active,2024-12-21 02:33:59
95,ST42000095,湖北省上海监测站95,227,29.722806680028246,115.95667136517201,1499,省级,46,2019-11-25,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,姜阳,13111265246,inactive,2024-03-01 10:04:05
96,ST53000096,云南省梧州华龙监测站96,699,22.84565395506737,104.41597756798662,337,市级,7,2022-04-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,严冬梅,13315530391,active,2025-02-24 10:48:32
97,ST52000097,贵州省深圳清河监测站97,323,26.45562880448391,105.90365024530342,2932,村级,43,2023-11-13,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,丁洋,14792982838,active,2024-02-26 01:28:45
98,ST62000098,甘肃省重庆高坪监测站98,169,35.46474250231737,103.0478002806713,1595,省级,15,2016-02-29,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,吴建国,14513933535,active,2024-12-11 17:26:13
99,ST43000099,湖南省长春监测站99,632,29.01105625424385,114.31176148879172,193,国家级,10,2016-02-21,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,颜健,18068818522,active,2024-02-25 21:00:24
100,ST36000100,江西省梧州房山监测站100,993,27.32615809670435,114.39409750783138,2123,村级,47,2024-02-04,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,隋凯,13461820096,active,2024-10-03 13:30:25
101,ST54000101,西藏自治区呼和浩特监测站101,542,28.913424136515093,91.43890753554479,2572,省级,2,2019-11-16,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,李莹,15315453213,inactive,2024-02-15 00:25:14
102,ST53000102,云南省北镇朝阳监测站102,379,23.633378553954618,106.40443105643942,2681,县级,9,2017-01-23,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,张桂荣,13510956453,maintenance,2023-08-16 23:54:27
103,ST62000103,甘肃省重庆锡山监测站103,378,35.65988999143037,102.9189342283603,167,县级,10,2019-08-15,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,曹秀芳,18984273858,maintenance,2024-09-01 14:49:11
104,ST34000104,安徽省张家港监测站104,173,32.696491825367296,114.68385695077521,1138,省级,22,2022-02-20,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,廖荣,18618937601,maintenance,2025-01-17 02:48:06
